13	17	1
17	9	1
17	57	1
45	59	2
1	54	3
36	59	4
29	52	5
11	51	6
20	36	7
26	27	8
28	30	9
21	33	10
14	38	11
13	6	12
57	6	12
6	9	12
0	47	13
19	7	14
38	44	15
5	56	16
32	60	17
33	38	18
16	33	19
33	34	20
0	14	21
19	30	22
14	50	23
43	53	24
56	6	25
23	45	26
15	45	27
40	7	28
25	26	29
53	61	30
21	29	31
54	57	32
13	54	32
33	37	33
37	43	34
14	37	35
1	19	36
42	47	37
1	41	38
41	9	39
13	41	39
41	57	39
37	61	40
45	50	41
20	44	42
15	59	43
37	45	44
21	45	45
37	8	46
13	57	47
57	9	47
13	9	47
19	54	48
14	34	49
20	8	50
36	39	51
30	42	52
38	58	53
36	37	54
3	8	55
45	51	56
16	50	57
24	29	58
18	21	59
2	44	60
15	24	61
29	45	62
38	52	63
33	43	64
20	38	65
38	43	66
28	8	67
1	26	68
13	5	69
5	9	69
5	57	69
59	8	70
46	49	71
14	33	72
18	24	73
10	42	74
17	25	75
14	40	76
18	29	77
24	45	78
41	54	79
40	52	80
45	8	81
1	36	82
18	51	83
34	49	84
1	17	85
37	40	86
3	59	87
39	57	88
14	52	89
28	47	90
1	28	91
27	7	92
29	35	93
21	51	94
14	16	95
20	50	96
17	31	97
0	15	98
0	42	99
14	24	100
15	40	101
24	51	102
20	28	103
17	6	104
18	20	105
33	40	106
15	18	107
42	50	108
1	27	109
18	45	110
51	55	111
33	50	112
29	43	113
17	22	114
23	51	115
43	46	116
30	47	117
14	43	118
16	20	119
50	51	120
36	40	121
34	37	122
21	37	123
14	3	124
54	6	125
12	33	126
17	27	127
16	38	128
25	27	129
15	55	130
16	37	131
10	29	132
54	7	133
0	10	134
34	44	135
10	2	136
10	47	137
4	51	138
29	51	139
20	47	140
32	9	141
13	32	141
2	61	142
30	7	143
23	36	144
2	42	145
48	57	146
0	40	147
