1	13,17	17,9	17,57
2	45,59
3	1,54
4	36,59
5	29,52
6	11,51
7	20,36
8	26,27
9	28,30
10	21,33
11	14,38
12	13,6	57,6	6,9
13	0,47
14	19,7
15	38,44
16	5,56
17	32,60
18	33,38
19	16,33
20	33,34
21	0,14
22	19,30
23	14,50
24	43,53
25	56,6
26	23,45
27	15,45
28	40,7
29	25,26
30	53,61
31	21,29
32	54,57	13,54
33	33,37
34	37,43
35	14,37
36	1,19
37	42,47
38	1,41
39	13,41	41,9	41,57
40	37,61
41	45,50
42	20,44
43	15,59
44	37,45
45	21,45
46	37,8
47	57,9	13,9	13,57
48	19,54
49	14,34
50	20,8
51	36,39
52	30,42
53	38,58
54	36,37
55	3,8
56	45,51
57	16,50
58	24,29
59	18,21
60	2,44
61	15,24
62	29,45
63	38,52
64	33,43
65	20,38
66	38,43
67	28,8
68	1,26
69	5,57	13,5	5,9
70	59,8
71	46,49
72	14,33
73	18,24
74	10,42
75	17,25
76	14,40
77	18,29
78	24,45
79	41,54
80	40,52
81	45,8
82	1,36
83	18,51
84	34,49
85	1,17
86	37,40
87	3,59
88	39,57
89	14,52
90	28,47
91	1,28
92	27,7
93	29,35
94	21,51
95	14,16
96	20,50
97	17,31
98	0,15
99	0,42
100	14,24
101	15,40
102	24,51
103	20,28
104	17,6
105	18,20
106	33,40
107	15,18
108	42,50
109	1,27
110	18,45
111	51,55
112	33,50
113	29,43
114	17,22
115	23,51
116	43,46
117	30,47
118	14,43
119	16,20
120	50,51
121	36,40
122	34,37
123	21,37
124	14,3
125	54,6
126	12,33
127	17,27
128	16,38
129	25,27
130	15,55
131	16,37
132	10,29
133	54,7
134	0,10
135	34,44
136	10,2
137	10,47
138	4,51
139	29,51
140	20,47
141	32,9	13,32
142	2,61
143	30,7
144	23,36
145	2,42
146	48,57
147	0,40
