1	45,59
2	1,54
3	36,59
4	29,52
5	11,51
6	20,36
7	21,33
8	38,44
9	5,56
10	32,60
11	0,14
12	43,53
13	56,6
14	40,7
15	53,61
16	1,19
17	1,41
18	37,61
19	45,50
20	20,44
21	15,59
22	37,45
23	37,8
24	13,17	13,57	19,54	5,57	17,9	57,6	41,9	19,7	48,57	54,6	13,6	57,9	19,30	54,7	13,5	41,57	54,57	17,6	13,9	6,9	13,32	13,54	5,9	17,57	30,7	41,54	13,41	32,9
25	20,8
26	36,39
27	38,58
28	36,37
29	59,8	3,59	3,8
30	2,44
31	38,52
32	20,38
33	28,8
34	46,49
35	0,42	0,47	10,42	30,42	30,47	0,10	42,47	10,2	2,42	10,47	28,30	28,47
36	17,27	17,25
37	40,52
38	45,8
39	1,36
40	34,49
41	1,17
42	37,40
43	39,57
44	1,28
45	27,7
46	29,35
47	16,50	33,50	14,43	14,34	14,38	14,16	16,33	33,34	16,38	33,43	38,43	16,37	14,50	14,33	34,37	33,40	33,38	33,37	37,43	14,37	14,40	14,52
48	20,50
49	17,31
50	0,15
51	14,24
52	15,40
53	20,28
54	18,20
55	42,50
56	18,29	18,24	15,18	21,45	21,51	24,29	21,29	24,51	29,51	24,45	18,45	18,51	18,21	23,45	29,45	45,51	15,45	15,24
57	51,55
58	29,43
59	17,22
60	23,51
61	43,46
62	16,20
63	50,51
64	36,40
65	21,37
66	14,3
67	12,33
68	25,26	1,27	25,27	26,27	1,26
69	15,55
70	10,29
71	34,44
72	4,51
73	20,47
74	2,61
75	23,36
76	0,40
