1	9	13	57	17
2	45	59
3	1	54
4	59	36
5	29	52
6	11	51
7	20	36
8	26	27
9	30	28
10	33	21
11	38	14
12	9	13	57	6
13	0	47
14	19	7
15	44	38
16	56	5
17	60	32
18	33	38
19	33	16
20	33	34
21	0	14
22	19	30
23	14	50
24	43	53
25	56	6
26	45	23
27	45	15
28	40	7
29	25	26
30	61	53
31	21	29
32	54	57	13
33	33	37
34	37	43
35	37	14
36	1	19
37	47	42
38	1	41
39	9	13	57	41
40	61	37
41	45	50
42	44	20
43	15	59
44	45	37
45	45	21
46	8	37
47	9	13	57
48	19	54
49	14	34
50	8	20
51	39	36
52	30	42
53	38	58
54	37	36
55	8	3
56	45	51
57	50	16
58	24	29
59	18	21
60	44	2
61	24	15
62	45	29
63	38	52
64	33	43
65	38	20
66	38	43
67	8	28
68	1	26
69	9	13	5	57
70	8	59
71	46	49
72	33	14
73	24	18
74	10	42
75	25	17
76	14	40
77	18	29
78	24	45
79	54	41
80	40	52
81	8	45
82	1	36
83	18	51
84	34	49
85	1	17
86	37	40
87	3	59
88	39	57
89	14	52
90	47	28
91	1	28
92	27	7
93	29	35
94	51	21
95	14	16
96	20	50
97	31	17
98	0	15
99	0	42
100	24	14
101	15	40
102	24	51
103	20	28
104	17	6
105	18	20
106	33	40
107	18	15
108	42	50
109	1	27
110	18	45
111	55	51
112	33	50
113	29	43
114	17	22
115	51	23
116	46	43
117	47	30
118	14	43
119	20	16
120	51	50
121	36	40
122	37	34
123	37	21
124	3	14
125	54	6
126	33	12
127	27	17
128	38	16
129	25	27
130	55	15
131	37	16
132	10	29
133	54	7
134	0	10
135	44	34
136	10	2
137	10	47
138	51	4
139	51	29
140	47	20
141	9	32	13
142	61	2
143	30	7
144	36	23
145	2	42
146	57	48
147	0	40
