1	36,59
2	20,36
3	32,60
4	40,7
5	53,61
6	36,39
7	2,44
8	46,49
9	1,36
10	34,49
11	1,28
12	13,17	45,59	1,54	29,52	11,51	26,27	17,9	28,30	21,33	14,38	13,6	41,9	0,47	19,7	38,44	5,56	16,33	33,34	0,14	19,30	16,20	14,50	54,57	56,6	23,45	15,45	25,26	21,29	13,54	33,37	37,43	14,37	15,59	42,47	1,41	13,41	37,61	45,50	20,44	1,19	37,45	21,45	37,8	13,57	19,54	57,9	14,34	20,8	30,42	38,58	36,37	3,8	45,51	16,50	24,29	18,21	15,24	29,45	38,52	33,43	20,38	38,43	28,8	1,26	41,57	0,10	40,52	14,33	33,38	10,42	5,9	17,25	17,57	14,40	24,45	41,54	59,8	32,9	45,8	18,51	1,17	37,40	3,59	39,57	14,52	57,6	28,47	27,7	29,35	21,51	14,16	20,50	17,31	0,42	18,24	24,51	20,28	17,6	13,9	33,40	15,18	1,27	18,45	51,55	33,50	29,43	17,22	23,51	30,47	14,43	5,57	18,29	50,51	34,37	21,37	14,3	54,6	12,33	17,27	16,38	25,27	15,55	16,37	54,7	13,5	15,40	10,2	10,47	6,9	4,51	29,51	20,47	13,32	30,7	2,42	48,57	0,40
13	0,15
14	14,24
15	18,20
16	42,50
17	43,53	43,46
18	36,40
19	10,29
20	34,44
21	2,61
22	23,36
