1	13,17	17,9	17,57
2	45,59
3	1,54
4	36,59
5	29,52
6	11,51
7	20,36
8	28,30
9	21,33
10	14,38
11	13,6	57,6	6,9
12	0,47
13	19,7
14	38,44
15	5,56
16	32,60
17	33,38
18	16,33
19	33,34
20	0,14
21	19,30
22	14,50
23	43,53
24	56,6
25	23,45
26	15,45
27	40,7
28	25,26	25,27	26,27
29	53,61
30	21,29
31	54,57	13,54
32	33,37
33	37,43
34	14,37
35	1,19
36	42,47
37	1,41
38	13,41	41,9	41,57
39	37,61
40	45,50
41	20,44
42	15,59
43	37,45
44	21,45
45	37,8
46	57,9	13,9	13,57
47	19,54
48	14,34
49	20,8
50	36,39
51	30,42
52	38,58
53	36,37
54	3,8
55	45,51
56	16,50
57	18,21
58	2,44
59	29,45
60	38,52
61	33,43
62	20,38
63	38,43
64	28,8
65	1,27	1,26
66	5,57	13,5	5,9
67	59,8
68	46,49
69	14,33
70	18,24
71	10,42
72	17,27	17,25
73	14,40
74	18,29	24,29
75	41,54
76	40,52
77	45,8
78	1,36
79	18,51	24,51
80	34,49
81	1,17
82	37,40
83	3,59
84	39,57
85	14,52
86	28,47
87	1,28
88	27,7
89	29,35
90	21,51
91	14,16
92	20,50
93	17,31
94	0,15
95	0,42
96	14,24
97	15,40
98	20,28
99	17,6
100	18,20
101	33,40
102	15,18	15,24
103	42,50
104	24,45	18,45
105	51,55
106	33,50
107	29,43
108	17,22
109	23,51
110	43,46
111	30,47
112	14,43
113	16,20
114	50,51
115	36,40
116	34,37
117	21,37
118	14,3
119	54,6
120	12,33
121	16,38
122	15,55
123	16,37
124	10,29
125	54,7
126	0,10
127	34,44
128	10,2
129	10,47
130	4,51
131	29,51
132	20,47
133	32,9	13,32
134	2,61
135	30,7
136	23,36
137	2,42
138	48,57
139	0,40
